Full-strength CARMELO,Current CARMELO,,Team,Conference,Proj. Record,Proj. Point Diff/G,Chance of Making PlayoffsMake play-offs,Playoff CARMELO Adjustment,Chance of Making FinalsMake Finals,Chance of Winning TitleWin Title
1744,1620,,Warriors15-9,West,57-25,6.5,>99%,73,60%,46%
1690,1703,,Raptors20-4,East,61-21,7.4,>99%,30,44%,18%
1682,1681,,Rockets11-11,West,51-31,4.2,94%,40,14%,7%
1676,1666,,Thunder14-7,West,54-28,5.3,98%,31,13%,7%
1649,1649,,Celtics13-10,East,53-29,5.3,>99%,30,18%,6%
1648,1645,,Bucks15-7,East,55-27,6.6,>99%,23,18%,5%
1636,1670,,76ers17-8,East,54-28,4,>99%,29,16%,4%
1634,1636,,Nuggets15-7,West,54-28,5.7,98%,21,6%,3%
1592,1564,,Pelicans12-12,West,46-36,2.2,67%,40,2%,<1%
1589,1589,,Jazz11-13,West,47-35,1.9,74%,47,2%,<1%
1571,1571,,Timberwolves11-12,West,43-39,0.7,47%,8,<1%,<1%
1561,1571,,Lakers14-9,West,45-37,0.9,62%,35,<1%,<1%
1550,1551,,Trail Blazers13-10,West,44-38,0.9,54%,22,<1%,<1%
1548,1470,,Pacers13-10,East,45-37,1.8,94%,22,2%,<1%
1530,1516,,Wizards9-14,East,39-43,-1.2,68%,22,<1%,<1%
1517,1517,,Clippers15-7,West,45-37,1.2,62%,10,<1%,<1%
1517,1508,,Hornets11-12,East,40-42,0.9,74%,29,<1%,<1%
1513,1510,,Pistons13-7,East,43-39,0.2,87%,2,<1%,<1%
1511,1516,,Grizzlies13-9,West,42-40,-0.2,37%,28,<1%,<1%
1464,1443,,Heat9-13,East,34-48,-2.3,23%,6,<1%,<1%
1461,1437,,Nets8-16,East,33-49,-2.4,20%,-3,<1%,<1%
1445,1445,,Magic11-12,East,35-47,-2.7,33%,19,<1%,<1%
1440,1428,,Spurs11-12,West,33-49,-3.6,2%,29,<1%,<1%
1420,1419,,Mavericks11-10,West,33-49,-2.9,2%,â€”,<1%,<1%
1393,1317,,Knicks8-16,East,25-57,-6.3,<1%,17,<1%,<1%
1388,1388,,Kings11-11,West,31-51,-4.6,1%,-1,<1%,<1%
1376,1344,,Bulls5-19,East,24-58,-6.7,<1%,25,<1%,<1%
1372,1307,,Cavaliers4-18,East,23-59,-6.7,<1%,2,<1%,<1%
1352,1347,,Suns4-19,West,22-60,-7.6,<1%,12,<1%,<1%
1320,1313,,Hawks5-18,East,21-61,-8.4,<1%,3,<1%,<1%